#"","INTLDES","NORAD_CAT_ID","OBJECT_TYPE","SATNAME","COUNTRY","LAUNCH","SITE","DECAY","PERIOD","INCLINATION","APOGEE","PERIGEE","COMMENT","COMMENTCODE","RCSVALUE","RCS_SIZE","FILE","LAUNCH_YEAR","LAUNCH_NUM","LAUNCH_PIECE","CURRENT","OBJECT_NAME","OBJECT_ID","OBJECT_NUMBER"
"30585","2019-002H",43929,"PAYLOAD","IRIDIUM 171","US","2019-01-11","AFWTR","",100.4,86.4,779,776,"",NA,0,"LARGE",7012,2019,2,"H","Y","IRIDIUM 171","2019-002H",43929
"30586","1997-076A",25071,"PAYLOAD","ASTRA 1G","SES","1997-12-02","TTMTR","",1436.09,3.94,35800,35773,"",NA,0,"LARGE",7015,1997,76,"A","Y","ASTRA 1G","1997-076A",25071
"30587","1992-042C",22036,"PAYLOAD","COSMOS 2199","CIS","1992-07-13","PKMTR","",114.2,82.6,1427,1411,"",NA,0,"LARGE",7012,1992,42,"C","Y","COSMOS 2199","1992-042C",22036
"30588","1976-008F",8612,"PAYLOAD","COSMOS 796","CIS","1976-01-28","PKMTR","",115.84,74.06,1515,1471,"",NA,0,"MEDIUM",7012,1976,8,"F","Y","COSMOS 796","1976-008F",8612
"30589","2019-002G",43928,"PAYLOAD","IRIDIUM 175","US","2019-01-11","AFWTR","",97.81,86.61,655,653,"",NA,0,"LARGE",7012,2019,2,"G","Y","IRIDIUM 175","2019-002G",43928
"30590","2019-002F",43927,"PAYLOAD","IRIDIUM 172","US","2019-01-11","AFWTR","",100.4,86.4,780,776,"",NA,0,"LARGE",7012,2019,2,"F","Y","IRIDIUM 172","2019-002F",43927
"30591","2015-052G",40936,"PAYLOAD","EXACTVIEW 9","CA","2015-09-28","SRI","",97.53,6,647,633,"",NA,0,"SMALL",7010,2015,52,"G","Y","EXACTVIEW 9","2015-052G",40936
"30592","2015-052B",40931,"PAYLOAD","LAPAN A2","INDO","2015-09-28","SRI","",97.52,6,649,631,"",NA,0,"MEDIUM",7010,2015,52,"B","Y","LAPAN A2","2015-052B",40931
"30593","1995-045A",23653,"PAYLOAD","COSMOS 2319","CIS","1995-08-30","TTMTR","",1437.71,14.58,35829,35807,"",NA,0,"LARGE",7011,1995,45,"A","Y","COSMOS 2319","1995-045A",23653
"30594","2019-002E",43926,"PAYLOAD","IRIDIUM 169","US","2019-01-11","AFWTR","",100.1,87.41,764,762,"",NA,0,"LARGE",7012,2019,2,"E","Y","IRIDIUM 169","2019-002E",43926
"30595","2019-003J",43940,"PAYLOAD","AOBA VELOX-IV","JPN","2019-01-18","KSCUT","",94.49,97.27,510,478,"",NA,0,"SMALL",7008,2019,3,"J","Y","AOBA VELOX-IV","2019-003J",43940
"30596","2018-099BJ",43814,"PAYLOAD","PW-SAT2","POL","2018-12-03","AFWTR","",95.96,97.78,574,556,"",NA,0,"MEDIUM",7014,2018,99,"BJ","Y","PW-SAT2","2018-099BJ",43814
"30597","2019-002D",43925,"PAYLOAD","IRIDIUM 173","US","2019-01-11","AFWTR","",100.4,86.4,779,776,"",NA,0,"LARGE",7012,2019,2,"D","Y","IRIDIUM 173","2019-002D",43925
"30598","2018-099AY",43804,"PAYLOAD","SUOMI100","FIN","2018-12-03","AFWTR","",96.3,97.74,592,570,"",NA,0,"SMALL",7014,2018,99,"AY","Y","SUOMI100","2018-099AY",43804
"30599","1992-042F",22039,"PAYLOAD","COSMOS 2202","CIS","1992-07-13","PKMTR","",114.05,82.59,1418,1407,"",NA,0,"LARGE",7012,1992,42,"F","Y","COSMOS 2202","1992-042F",22039
"30601","2016-040P",41612,"PAYLOAD","FLOCK 2P 10","US","2016-06-22","SRI","",94.39,97.37,495,483,"",NA,0,"SMALL",7012,2016,40,"P","Y","FLOCK 2P 10","2016-040P",41612
"30602","1985-098A",16183,"PAYLOAD","COSMOS 1698","CIS","1985-10-22","PKMTR","",717.34,71.01,32929,7404,"",NA,0,"LARGE",7014,1985,98,"A","Y","COSMOS 1698","1985-098A",16183
"30603","2016-040N",41611,"PAYLOAD","FLOCK 2P 4","US","2016-06-22","SRI","",94.35,97.37,493,481,"",NA,0,"SMALL",7012,2016,40,"N","Y","FLOCK 2P 4","2016-040N",41611
"30604","2019-003G",43938,"PAYLOAD","ALE-1","JPN","2019-01-18","KSCUT","",94.53,97.28,512,479,"",NA,0,"MEDIUM",7012,2019,3,"G","Y","ALE-1","2019-003G",43938
"30605","2017-029A",42740,"PAYLOAD","VIASAT 2","US","2017-06-01","FRGUI","",1436.14,0.02,35788,35787,"",NA,0,"LARGE",7015,2017,29,"A","Y","VIASAT 2","2017-029A",42740
"30606","2016-036A",41584,"PAYLOAD","USA 268","US","2016-06-11","AFETR","",1436.06,6.96,36027,35545,"",NA,0,"",6940,2016,36,"A","Y","USA 268","2016-036A",41584
