,OBJECT_TYPE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,LAUNCH_YEAR,SMA,e,n
46566,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46567,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46568,"""PAYLOAD""","""""",95.47,53.0,543.0,540.0,"""LARGE""","""2020""",6919500.0,0.00021677866897897247,0.0010968865101043236
46569,"""PAYLOAD""","""""",95.59,53.05,548.0,547.0,"""LARGE""","""2020""",6925500.0,7.219695328857122e-05,0.0010955095210760514
46570,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46571,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46572,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46573,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46574,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46575,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46576,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46577,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46578,"""PAYLOAD""","""""",95.6,53.06,549.0,546.0,"""LARGE""","""2020""",6925500.0,0.00021659085986571366,0.001095394928029914
46579,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46580,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46581,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46582,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46583,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46584,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46585,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46586,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46587,"""PAYLOAD""","""""",91.63,53.06,358.0,352.0,"""LARGE""","""2020""",6733000.0,0.0004455666122085252,0.0011428544703662533
46588,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46589,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46590,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46591,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46592,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46593,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46594,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46595,"""PAYLOAD""","""""",95.91,53.0,563.0,561.0,"""LARGE""","""2020""",6940000.0,0.00014409221902017292,0.0010918543959926993
46596,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46601,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46603,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46604,"""PAYLOAD""","""""",95.64,53.0,551.0,549.0,"""LARGE""","""2020""",6928000.0,0.0001443418013856813,0.0010949367954795042
46605,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46606,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46607,"""PAYLOAD""","""""",95.59,53.05,549.0,546.0,"""LARGE""","""2020""",6925500.0,0.00021659085986571366,0.0010955095210760514
46608,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46609,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46610,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46611,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46612,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46613,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46614,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46615,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46616,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46617,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46618,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
