INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1982-092AVM","50918","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.43","82.56","493","392","","","0","SMALL","7964","1982","92","AVM","Y","COSMOS 1408 DEB","1982-092AVM","50918"
"1982-092AVN","50919","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","92.91","82.67","451","383","","","0","SMALL","7965","1982","92","AVN","Y","COSMOS 1408 DEB","1982-092AVN","50919"
"1982-092AVP","50920","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.85","82.55","564","458","","","0","SMALL","7964","1982","92","AVP","Y","COSMOS 1408 DEB","1982-092AVP","50920"
"1982-092AVQ","50921","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.22","82.58","506","455","","","0","SMALL","7965","1982","92","AVQ","Y","COSMOS 1408 DEB","1982-092AVQ","50921"
"1982-092AVR","50922","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","90.27","82.56","296","279","","","0","SMALL","7960","1982","92","AVR","Y","COSMOS 1408 DEB","1982-092AVR","50922"
"1982-092AVS","50923","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.90","82.33","475","456","","","0","SMALL","7964","1982","92","AVS","Y","COSMOS 1408 DEB","1982-092AVS","50923"
"1982-092AVT","50924","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.04","82.61","500","444","","","0","SMALL","7964","1982","92","AVT","Y","COSMOS 1408 DEB","1982-092AVT","50924"
"1982-092AVU","50925","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","97.08","82.41","787","451","","","0","SMALL","7965","1982","92","AVU","Y","COSMOS 1408 DEB","1982-092AVU","50925"
"1982-092AVV","50926","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","95.37","82.57","615","457","","","0","SMALL","7962","1982","92","AVV","Y","COSMOS 1408 DEB","1982-092AVV","50926"
"1982-092AVW","50927","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.72","82.63","488","425","","","0","SMALL","7964","1982","92","AVW","Y","COSMOS 1408 DEB","1982-092AVW","50927"
"1982-092AVX","50928","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","95.10","82.56","586","461","","","0","SMALL","7964","1982","92","AVX","Y","COSMOS 1408 DEB","1982-092AVX","50928"
"1982-092AVY","50929","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.14","82.55","510","443","","","0","SMALL","7965","1982","92","AVY","Y","COSMOS 1408 DEB","1982-092AVY","50929"
"1982-092AVZ","50930","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.86","82.51","503","424","","","0","SMALL","7965","1982","92","AVZ","Y","COSMOS 1408 DEB","1982-092AVZ","50930"
"1982-092AW","49557","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","95.24","82.60","611","449","","","0","SMALL","7964","1982","92","AW","Y","COSMOS 1408 DEB","1982-092AW","49557"
"1982-092AWA","50931","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","95.22","82.51","670","389","","","0","SMALL","7965","1982","92","AWA","Y","COSMOS 1408 DEB","1982-092AWA","50931"
